Price,Close,High,Low,Open,Volume,returns
Ticker,SPY,SPY,SPY,SPY,SPY,
date,,,,,,
2023-11-13,426.6706848144531,427.7756572288507,424.9550565166978,425.7401770580696,52236100,-0.0009536158068763617
2023-11-14,434.9483947753906,436.23753414765645,432.3894615518305,432.61240832792026,97176900,0.01921490561593442
2023-11-15,435.8692321777344,437.51703289700214,435.01625437389265,436.28601873814944,77327600,0.0021148808133026977
2023-11-16,436.4023742675781,436.7222261657172,434.3571620148054,435.42338430911985,66665800,0.0012224223562811033
2023-11-17,436.9450988769531,437.5557547047121,435.4911676985958,436.4119730300388,83133200,0.0012428608221267462
2023-11-20,440.3085632324219,441.1518386514175,436.6834077524104,436.69311009341754,69936200,0.007668205861295509
2023-11-21,439.3489685058594,440.18257120218567,438.0792041489343,439.2617361737396,49244600,-0.002181747038093474
2023-11-22,441.04522705078125,442.3634735504526,439.9499569252717,441.00647684513626,59394900,0.0038534116931485942
2023-11-24,441.3166198730469,441.51048921964684,440.7641484378246,441.0937026627971,29737400,0.0006151508743719503
2023-11-27,440.52178955078125,441.5007498020653,440.1340508901427,440.68655185927656,50506000,-0.0018026670850627522
2023-11-28,440.9579772949219,442.25681906014256,439.57190319998205,440.13407696271906,62115000,0.0009896716774419794
2023-11-29,440.6477966308594,444.2438747206066,440.2504147680835,443.10979527762873,63146000,-0.0007036720630361266
2023-11-30,442.3828430175781,442.73180192610516,439.41682540648986,441.4911150141487,79752700,0.003929758587469678
2023-12-01,444.99993896484375,445.53303530779465,441.18094348970146,441.77219472169025,89183400,0.005898477158313283
2023-12-04,442.6639709472656,445.01933279334,440.3861390964009,441.60745097820734,72430900,-0.005263193386411947
2023-12-05,442.57666015625,443.5362452759612,440.89978220152403,441.2778185094744,69793500,-0.00019725888810568815
2023-12-06,440.7931823730469,444.74786226267736,440.35699117640615,444.7187848215884,69124700,-0.004037901500789579
2023-12-07,444.1566467285156,444.80605282503006,442.27622650644105,442.87718005735604,66995400,0.0076015169239737335
2023-12-08,446.06610107421875,446.5991973452758,443.1679114532356,443.4102333183171,83194400,0.004289841567588054
2023-12-11,447.8011474609375,447.97564170163525,445.358553474564,445.5717979195869,65002200,0.0038821168772227477
2023-12-12,449.84637451171875,449.94330918636626,446.45386796122364,447.45223299144266,68327600,0.004556867901530177
2023-12-13,456.04974365234375,456.30176785417245,449.8656850098202,450.2243166322346,93278000,0.01369575601814699
2023-12-14,457.5133972167969,459.1805728813377,454.83815428105993,457.9883386207796,119026000,0.0032042772990731145
2023-12-15,456.7601318359375,458.09346468799856,454.911024624647,456.9158501916579,141553700,-0.0016477903545550365
2023-12-18,459.3294372558594,460.31239637628556,457.3051580447496,458.3659614924249,70375300,0.00560930337684178
2023-12-19,462.1225891113281,462.2004631426164,459.7966147557437,459.8744590867912,55761800,0.00606251943786412
2023-12-20,455.7187805175781,463.1541458673366,455.2905624937439,461.26610177140515,102921000,-0.013954290401301904
2023-12-21,460.0399169921875,460.3124166999498,456.2832820563495,458.7065840896728,86667500,0.009437351908635478
2023-12-22,460.96441650390625,462.6480933014032,459.06666039020405,461.1687838422537,67160400,0.002007590602140835
2023-12-26,462.910888671875,463.81597380070593,461.2953440901739,461.3732181207506,55387000,0.004213718100482234
2023-12-27,463.7478332519531,463.8938099220547,462.1712258143802,462.7064835048319,68000300,0.0018063711868336622
2023-12-28,463.9230041503906,464.75995685713684,463.5045277970175,464.1079178321579,77158100,0.0003776574480017819
2023-12-29,462.5799560546875,464.25389115635505,460.62377959337147,463.7283454487912,122283100,-0.00289917915885732
2024-01-02,459.9911804199219,460.9838811377681,457.8890273530107,459.51431341639926,123623700,-0.005612103667722635
2024-01-03,456.23455810546875,458.5702737454352,455.631168116003,457.83061907435547,103585900,-0.008200257223516316
2024-01-04,454.7649841308594,458.346416709132,454.5411334571291,455.75765509650716,84232200,-0.003226291959993042
2024-01-05,455.3879089355469,457.84040614563645,453.93779478135224,454.96940287212124,86118900,0.001368835734519112
2024-01-08,461.8890075683594,462.0349842457667,455.7577198150965,455.884242835596,74879100,0.014175016009974482
2024-01-09,461.1883239746094,462.21019049238487,458.7260848325078,459.23214725174796,65931400,-0.0015181474062526633
2024-01-10,463.7965087890625,464.66268658164086,461.1785514545196,461.4607928330298,67310600,0.0056394259331273115
2024-01-11,463.5921630859375,465.31474737264404,459.61170706620095,464.79894328451786,77940700,-0.000440690538129971
2024-01-12,463.91326904296875,465.7818595429952,462.502121615046,465.04220480544996,58026400,0.000692407739592809
2024-01-16,462.21014404296875,463.8451421871986,460.39023221216354,462.53132242501596,85014900,-0.003677969687080206
2024-01-17,459.64080810546875,460.12741675671,457.285609165358,459.18339478529265,68843900,-0.005574312386576108
2024-01-18,463.7283630371094,464.28310409945385,459.7673906749951,461.314802822399,91856200,0.008853623794610105
2024-01-19,469.50927734375,469.79151871434675,463.7770421286305,464.8572992191645,110834500,0.01238910219423396
2024-01-22,470.501953125,472.2245371914283,469.8498844138423,471.0469524804882,75844900,0.0021120516821113732
2024-01-23,471.87420654296875,472.1175109095896,469.9569966462272,471.04699545665005,49945300,0.0029123283177436114
2024-01-24,472.3900146484375,475.6794645582401,471.8936642634199,474.745184157241,81765000,0.0010925081035528593
2024-01-25,474.9593505859375,475.2318503066767,472.3900717475741,474.52139081678,72525000,0.005424276051759932
2024-01-26,474.35589599609375,476.02008943226616,473.5092016110277,474.53106799985125,76641600,-0.0012713472648794803
2024-01-29,478.11248779296875,478.258494159002,474.12232032676826,474.66731967923187,61322800,0.007888159522517842
2024-01-30,477.7427062988281,478.4531359964777,476.983568210537,477.421527922976,58618400,-0.0007737186864150012
2024-01-31,469.9472351074219,475.98116532447904,469.9277517507619,475.5334936248827,126011100,-0.01645189355712125
2024-02-01,476.09796142578125,476.1271567596163,470.8425637335658,471.65035080339914,91891600,0.013003211698955009
